ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
281,Sierra Leone,1/20/15,7903,2150,2779
282,Liberia,1/20/15,3135,3489,NA
283,United Kingdom,1/20/15,1,0,NA
284,Mali,1/20/15,7,0,NA
285,Nigeria,1/20/15,19,0,7
286,Senegal,1/20/15,1,0,0
287,Spain,1/20/15,1,0,0
288,United States of America,1/20/15,4,0,1
289,Guinea,1/19/15,2539,15,1556
290,Sierra Leone,1/19/15,7883,2136,2766
291,United Kingdom,1/19/15,1,0,NA
292,Liberia,1/19/15,3131,3454,NA
293,Mali,1/19/15,7,0,NA
294,Nigeria,1/19/15,19,0,7
295,Senegal,1/19/15,1,0,0
296,Spain,1/19/15,1,0,0
297,United States of America,1/19/15,4,0,1
298,Mali,1/16/15,7,0,NA
299,United Kingdom,1/16/15,1,0,NA
300,Guinea,1/16/15,2525,12,1541
301,Liberia,1/16/15,3127,3394,NA
302,Sierra Leone,1/16/15,7825,2074,2717
303,Nigeria,1/16/15,19,0,7
304,Senegal,1/16/15,1,0,0
305,Spain,1/16/15,1,0,0
306,United States of America,1/16/15,4,0,1
307,Guinea,1/15/15,2522,11,1537
308,Liberia,1/15/15,3127,3394,NA
309,Sierra Leone,1/15/15,7802,2061,2701
310,Mali,1/15/15,7,0,NA
311,United Kingdom,1/15/15,1,0,NA
312,Nigeria,1/15/15,19,0,7
313,Senegal,1/15/15,1,0,0
314,Spain,1/15/15,1,0,0
315,United States of America,1/15/15,4,0,1
316,Mali,1/14/15,7,0,NA
317,United Kingdom,1/14/15,1,0,NA
318,Guinea,1/14/15,2514,8,1530
319,Liberia,1/14/15,3127,3365,NA
320,Sierra Leone,1/14/15,7786,2051,2696
321,Nigeria,1/14/15,19,0,7
322,Senegal,1/14/15,1,0,0
323,Spain,1/14/15,1,0,0
324,United States of America,1/14/15,4,0,1
325,Guinea,1/13/15,2508,7,1523
326,Liberia,1/13/15,3123,3322,NA
327,Sierra Leone,1/13/15,7766,2041,2683
328,Mali,1/13/15,7,1,NA
329,United Kingdom,1/13/15,1,0,NA
330,Mali,1/12/15,7,0,NA
331,United Kingdom,1/12/15,1,0,NA
